id,bowler,wickets,venue,batting_team
335989,Harbhajan Singh,0,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335989,DJ Bravo,0,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335989,VS Yeligati,0,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335989,AM Nayar,0,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335989,MA Khote,2,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335989,JDP Oram,1,"MA Chidambaram Stadium, Chepauk",Mumbai Indians
335989,MS Gony,1,"MA Chidambaram Stadium, Chepauk",Mumbai Indians
335989,Joginder Sharma,2,"MA Chidambaram Stadium, Chepauk",Mumbai Indians
335989,P Amarnath,1,"MA Chidambaram Stadium, Chepauk",Mumbai Indians
335989,M Muralitharan,2,"MA Chidambaram Stadium, Chepauk",Mumbai Indians
335990,MM Patel,0,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335990,SR Watson,1,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335990,YK Pathan,2,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335990,Pankaj Singh,0,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335990,SK Trivedi,0,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335990,SK Warne,2,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335990,D Salunkhe,0,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers
335990,WPUJC Vaas,1,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
335990,RP Singh,2,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
335990,PP Ojha,0,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
335990,D Kalyankrishna,1,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
335990,Shahid Afridi,3,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
335990,A Symonds,0,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals
335991,SM Pollock,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335991,A Nehra,2,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335991,DS Kulkarni,3,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335991,Harbhajan Singh,4,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335991,DJ Bravo,0,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335991,MA Khote,0,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335991,B Lee,2,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians
335991,IK Pathan,2,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians
335991,VRV Singh,1,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians
335991,S Sreesanth,2,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians
335991,PP Chawla,2,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians
335992,SR Watson,3,M Chinnaswamy Stadium,Royal Challengers Bangalore
335992,Sohail Tanvir,0,M Chinnaswamy Stadium,Royal Challengers Bangalore
335992,MM Patel,2,M Chinnaswamy Stadium,Royal Challengers Bangalore
335992,SK Trivedi,1,M Chinnaswamy Stadium,Royal Challengers Bangalore
335992,SK Warne,2,M Chinnaswamy Stadium,Royal Challengers Bangalore
335992,YK Pathan,0,M Chinnaswamy Stadium,Royal Challengers Bangalore
335992,P Kumar,1,M Chinnaswamy Stadium,Rajasthan Royals
335992,Z Khan,1,M Chinnaswamy Stadium,Rajasthan Royals
335992,R Vinay Kumar,0,M Chinnaswamy Stadium,Rajasthan Royals
335992,A Kumble,0,M Chinnaswamy Stadium,Rajasthan Royals
335992,JH Kallis,0,M Chinnaswamy Stadium,Rajasthan Royals
335992,SB Joshi,1,M Chinnaswamy Stadium,Rajasthan Royals
335993,JDP Oram,3,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders
335993,MS Gony,2,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders
335993,P Amarnath,2,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders
335993,M Muralitharan,0,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders
335993,Joginder Sharma,2,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders
335993,AB Dinda,0,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335993,I Sharma,0,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335993,AB Agarkar,1,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335993,DJ Hussey,0,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335993,Mohammad Hafeez,0,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335993,M Kartik,0,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335993,LR Shukla,0,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings
335994,RP Singh,2,Dr DY Patil Sports Academy,Mumbai Indians
335994,DNT Zoysa,1,Dr DY Patil Sports Academy,Mumbai Indians
335994,SB Bangar,2,Dr DY Patil Sports Academy,Mumbai Indians
335994,Shahid Afridi,2,Dr DY Patil Sports Academy,Mumbai Indians
335994,PP Ojha,0,Dr DY Patil Sports Academy,Mumbai Indians
335994,D Kalyankrishna,0,Dr DY Patil Sports Academy,Mumbai Indians
335994,A Nehra,0,Dr DY Patil Sports Academy,Deccan Chargers
335994,SM Pollock,0,Dr DY Patil Sports Academy,Deccan Chargers
335994,DS Kulkarni,0,Dr DY Patil Sports Academy,Deccan Chargers
335994,ST Jayasuriya,0,Dr DY Patil Sports Academy,Deccan Chargers
335994,SD Chitnis,0,Dr DY Patil Sports Academy,Deccan Chargers
335994,DJ Bravo,0,Dr DY Patil Sports Academy,Deccan Chargers
335994,AM Nayar,0,Dr DY Patil Sports Academy,Deccan Chargers
335995,B Lee,1,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils
335995,IK Pathan,3,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils
335995,S Sreesanth,0,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils
335995,VRV Singh,3,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils
335995,PP Chawla,0,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils
335995,Yuvraj Singh,1,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils
335995,GD McGrath,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335995,Mohammad Asif,2,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335995,MF Maharoof,0,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335995,VY Mahesh,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335995,Shoaib Malik,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335995,R Bhatia,1,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab
335996,DW Steyn,0,M Chinnaswamy Stadium,Chennai Super Kings
335996,Z Khan,3,M Chinnaswamy Stadium,Chennai Super Kings
335996,P Kumar,2,M Chinnaswamy Stadium,Chennai Super Kings
335996,JH Kallis,0,M Chinnaswamy Stadium,Chennai Super Kings
