id,batsman,batsman_runs,bowling_team,Venue,runs_in_powerplay,runs_in_death,Innings,Bowler,Bowler_Type
335985,V Kohli,23,Mumbai Indians,Wankhede Stadium,0,0,2,A Nehra,Left arm medium pace
335985,MV Boucher,39,Mumbai Indians,Wankhede Stadium,0,31,2,not out,Not Out
335985,B Akhil,3,Mumbai Indians,Wankhede Stadium,0,3,2,not out,Not Out
335986,AC Gilchrist,23,Kolkata Knight Riders,Eden Gardens,21,0,1,M Kartik,Left arm off spin
335986,Y Venugopal Rao,14,Kolkata Knight Riders,Eden Gardens,14,0,1,I Sharma,Right arm medium pace
335986,VVS Laxman,0,Kolkata Knight Riders,Eden Gardens,0,0,1,AB Dinda,Right arm medium pace
335986,A Symonds,32,Kolkata Knight Riders,Eden Gardens,0,17,1,AB Agarkar,Right arm medium pace
335986,RG Sharma,0,Kolkata Knight Riders,Eden Gardens,0,0,1,M Kartik,Left arm off spin
335986,SB Styris,6,Kolkata Knight Riders,Eden Gardens,0,0,1,Mohammad Hafeez,Right arm off spin
335986,AS Yadav,10,Kolkata Knight Riders,Eden Gardens,0,0,1,DJ Hussey,Right arm off spin
335986,SB Bangar,14,Kolkata Knight Riders,Eden Gardens,0,13,1,M Kartik,Left arm off spin
335986,WPUJC Vaas,0,Kolkata Knight Riders,Eden Gardens,0,0,1,AB Agarkar,Right arm medium pace
335986,RP Singh,1,Kolkata Knight Riders,Eden Gardens,0,1,1,not out,Not Out
335986,WP Saha,10,Deccan Chargers,Eden Gardens,10,0,2,WPUJC Vaas,Left arm medium pace
335986,BB McCullum,5,Deccan Chargers,Eden Gardens,5,0,2,RP Singh,Left arm medium pace
335986,RT Ponting,0,Deccan Chargers,Eden Gardens,0,0,2,WPUJC Vaas,Left arm medium pace
335986,SC Ganguly,14,Deccan Chargers,Eden Gardens,4,0,2,PP Ojha,Left arm off spin
335986,DJ Hussey,38,Deccan Chargers,Eden Gardens,2,20,2,not out,Not Out
335986,Mohammad Hafeez,13,Deccan Chargers,Eden Gardens,0,5,2,PP Ojha,Left arm off spin
335986,LR Shukla,4,Deccan Chargers,Eden Gardens,0,4,2,not out,Not Out
335987,K Goel,26,Rajasthan Royals,Sawai Mansingh Stadium,26,0,1,MM Patel,Right arm medium pace
335987,JR Hopes,16,Rajasthan Royals,Sawai Mansingh Stadium,9,0,1,SK Warne,Right arm leg spin
335987,KC Sangakkara,20,Rajasthan Royals,Sawai Mansingh Stadium,19,0,1,SK Warne,Right arm leg spin
335987,DPMD Jayawardene,2,Rajasthan Royals,Sawai Mansingh Stadium,0,0,1,D Salunkhe,Right arm leg spin
335987,Yuvraj Singh,57,Rajasthan Royals,Sawai Mansingh Stadium,0,14,1,SK Warne,Right arm leg spin
335987,IK Pathan,12,Rajasthan Royals,Sawai Mansingh Stadium,0,7,1,SK Trivedi,Right arm medium pace
335987,S Sohal,4,Rajasthan Royals,Sawai Mansingh Stadium,0,4,1,MM Patel,Right arm medium pace
335987,B Lee,0,Rajasthan Royals,Sawai Mansingh Stadium,0,0,1,SK Trivedi,Right arm medium pace
335987,PP Chawla,24,Rajasthan Royals,Sawai Mansingh Stadium,0,24,1,not out,Not Out
335987,WA Mota,1,Rajasthan Royals,Sawai Mansingh Stadium,0,1,1,not out,Not Out
335987,M Kaif,5,Kings XI Punjab,Sawai Mansingh Stadium,5,0,2,S Sreesanth,Right arm medium pace
335987,YK Pathan,7,Kings XI Punjab,Sawai Mansingh Stadium,7,0,2,B Lee,Right arm medium pace
335987,Kamran Akmal,15,Kings XI Punjab,Sawai Mansingh Stadium,15,0,2,JR Hopes,Right arm medium pace
335987,SR Watson,76,Kings XI Punjab,Sawai Mansingh Stadium,14,12,2,not out,Not Out
335987,DS Lehmann,17,Kings XI Punjab,Sawai Mansingh Stadium,4,0,2,IK Pathan,Left arm medium pace
335987,RA Jadeja,36,Kings XI Punjab,Sawai Mansingh Stadium,0,13,2,not out,Not Out
335988,AC Gilchrist,8,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",8,0,1,Mohammad Asif,Right arm medium pace
335988,Y Venugopal Rao,14,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",12,0,1,MF Maharoof,Right arm medium pace
335988,VVS Laxman,2,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2,0,1,Mohammad Asif,Right arm medium pace
335988,A Symonds,12,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",2,0,1,MF Maharoof,Right arm medium pace
335988,RG Sharma,66,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,40,1,R Bhatia,Right arm medium pace
335988,Shahid Afridi,2,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,0,1,R Bhatia,Right arm medium pace
335988,SB Bangar,8,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",0,1,1,R Bhatia,Right arm medium pace
