bowler,bowling_type
A Chandila,Right_off
LJ Wright,Right_medium
P Negi,Left_off
RJ Peterson,Left_leg
R Shukla,Right_medium
MJ Clarke,Right_off
BW Hilfenhaus,Right_medium
SPD Smith,Right_leg
K Upadhyay,Right_medium
Sunny Gupta,Right_off
JJ Bumrah,Right_medium
MG Johnson,Left_medium
S Badree,Right_leg
AS Rajpoot,Right_medium
B Laughlin,Right_medium
GH Vihari,Right_off
Mohammed Shami,Right_medium
BMAJ Mendis,Right_leg
CH Morris,Right_medium
Harmeet Singh (2),Left_off
S Kaul,Right_medium
R Dhawan,Right_medium
MM Sharma,Right_medium
R Rampaul,Right_medium
KV Sharma,Right_leg
SMSM Senanayake,Right_off
JO Holder,Right_medium
IC Pandey,Right_medium
Sandeep Sharma,Right_medium
YS Chahal,Right_leg
DJG Sammy,Right_medium
KW Richardson,Right_medium
P Suyal,Left_medium
BJ Rohrer,Right_medium
PV Tambe,Right_leg
Parvez Rasool,Right_off
MG Neser,Right_medium
AC Gilchrist,Right_medium
NM Coulter-Nile,Right_medium
CJ Anderson,Left_medium
JDS Neesham,Right_medium
MA Starc,Left_medium
AR Patel,Left_off
M Vijay,Right_off
R Tewatia,Right_leg
SA Yadav,Right_medium
Shivam Sharma,Right_off
Imran Tahir,Right_leg
V Shankar,Right_medium
LMP Simmons,Right_medium
BCJ Cutting,Right_medium
K Santokie,Left_medium
S Gopal,Right_leg
BE Hendricks,Left_medium
PJ Cummins,Right_medium
JW Hastings,Right_medium
Karanveer Singh,Right_leg
DJ Muthuswami,Right_medium
TA Boult,Left_medium
KC Cariappa,Right_leg
SA Abbott,Right_medium
DJ Hooda,Right_off
J Suchith,Left_off
RG More,Right_medium
D Wiese,Right_medium
HH Pandya,Right_medium
MJ McClenaghan,Left_medium
SN Thakur,Right_medium
GS Sandhu,Right_medium
Gurkeerat Singh,Right_off
J Yadav,Right_off
BB Sran,Left_medium
M Ashwin,Right_leg
C Munro,Right_medium
CR Brathwaite,Right_medium
MP Stoinis,Right_medium
P Sahu,Right_leg
AF Milne,Right_medium
Mustafizur Rahman,Left_medium
Kuldeep Yadav,Left_leg
KH Pandya,Left_off
KJ Abbott,Right_Medium
T Shamsi,Left_off
S Kaushik,Left_off
SM Boland,Right_medium
Swapnil Singh,Left_leg
A Zampa,Right_leg
CJ Jordan,Right_medium
Sachin Baby,Right_off
N Rana,Right_off
DL Chahar,Right_medium
KS Williamson,Right_off
A Choudhary,Right_off
Rashid Khan,Right_leg
TM Head,Right_off
TS Mills,Left_medium
BA Stokes,Right_medium
CR Woakes,Right_medium
RD Chahar,Right_leg
T Natarajan,Left_medium
B Stanlake,Right_medium
Basil Thampi,Right_medium
Tejas Baroka,Right_leg
C de Grandhomme,Right_medium
AJ Tye,Right_medium
LH Ferguson,Right_medium
Mohammad Nabi,Right_off
Mohammed Siraj,Right_medium
K Rabada,Right_medium
Washington Sundar,Right_off
NB Singh,Right_medium
SS Agarwal,Right_off
RA Tripathi,Right_medium
Ankit Soni,Right_leg
MJ Henry,Right_medium
Avesh Khan,Right_medium
M Markande,Right_leg
MA Wood,Left_medium
Mujeeb Ur Rahman,Right_leg
K Khejroliya,Left_medium
DJM Short,Left_leg
K Gowtham,Right_off
TK Curran,Right_medium
A Dananjaya,Right_off
Shivam Mavi,Right_medium
JC Archer,Right_medium
LE Plunkett,Right_medium
IS Sodhi,Right_leg
MK Lomror,Left_off
KM Asif,Right_medium
L Ngidi,Right_medium
DJ Willey,Left_medium
M Prasidh Krishna,Right_medium
MM Ali,Right_off
JPR Scantlebury-Searles,Right_medium
CJ Dala,Right_medium
S Lamichhane,Right_leg
KK Ahmed,Left_medium
NA Saini,Right_medium
S Dube,Right_medium
KMA Paul,Right_medium
Rasikh Salam,Right_medium
SM Curran,Left_medium
CV Varun,Right_leg
GC Viljoen,Right_medium
Mandeep Singh,Right_medium
P Ray Barman,Right_leg
MJ Santner,Left_off
JP Behrendorff,Left_medium
SC Kuggeleijn,Right_medium
AS Joseph,Right_medium
HF Gurney,Left_medium
S Midhun,Right_leg
R Parag,Right_off
LS Livingstone,Right_leg
SN Khan,Right_leg
Abhishek Sharma,Left_off
Arshdeep Singh,Left_medium
Harpreet Brar,Left_off
SE Rutherford,Right_medium
Y Prithvi Raj,Left_medium
O Thomas,Right_medium
AS Roy,Left_off
S Sandeep Warrier,Right_medium
JL Pattinson,Right_medium
A Nortje,Right_medium
Ravi Bishnoi,Right_leg
SS Cottrell,Right_medium
I Udana,Left_medium
KL Nagarkoti,Right_medium
TU Deshpande,Right_medium
Kartik Tyagi,Right_medium
DR Sams,Left_medium
Shahbaz Ahmed,Left_leg
Abdul Samad,Right_leg
JR Hazlewood,Right_medium
DA Warner,Right_leg
CJ Green,Right_off
P Dubey,Right_leg
Monu Kumar,Right_medium
